CA,-,5,6.00,American Blonde Ale,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Blondie,1,San Diego
CA,-,3.5,6.75,American Blonde Ale,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Cali Blonde,1,San Diego
CA,-,-,6.25,Scottish Ale,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Ex-Hop-Loited,0,San Diego
CA,-,-,4.50,American Pale Ale (APA),(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Flock Of Falconers,1,San Diego
CA,-,3.85,6.25,American Brown Ale,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Gelato Verra Coffee And Donuts Brown Ale,1,San Diego
CA,-,3.79,5.50,American Pale Ale (APA),(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Greatest Hits,6,San Diego
CA,-,3.8,8.00,American Double / Imperial IPA,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Hit Me With Your Best Hops - Equinox,5,San Diego
CA,-,-,5.50,English India Pale Ale (IPA),(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Hop Save The Queen,0,San Diego
CA,-,3.91,10.00,American Double / Imperial IPA,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Hop Way To The Danger Zone,13,San Diego
CA,-,3.27,5.00,American Adjunct Lager,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Hopski (Pre-Prohibition Style Lager),6,San Diego
CA,-,-,8.50,American Stout,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Hot Mess,5,San Diego
CA,-,3.13,6.00,American IPA,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,I'm Hot For Wheat-Cher,2,San Diego
CA,-,-,7.25,Tripel,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Instant Tripel Karma,4,San Diego
CA,-,3.56,9.50,American Double / Imperial Stout,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Kopi Luwak Coffee Stout,3,San Diego
CA,-,3.81,7.00,Dubbel,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Mad DUB,14,San Diego
CA,-,3.86,6.66,American Amber / Red Ale,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Mosh Pit,13,San Diego
CA,-,3.54,3.50,Fruit / Vegetable Beer,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Passion Pils,3,San Diego
CA,-,3.5,4.00,Fruit / Vegetable Beer,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Pick'n Passion,1,San Diego
CA,-,4.3,6.00,American Amber / Red Ale,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,"Red, Red Beer",1,San Diego
